,County,Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
115,Baylor,3656.0,36311.0,32800.0,440.0,12.035010940919037,1525.0,21.0,1.3770491803278688
116,Beadle,18042.0,365521.0,189894.0,3585.0,19.87030262720319,9443.0,274.0,2.901620247802605
117,Bear Lake,5766.0,425978.0,177891.0,728.0,12.625737079431149,2613.0,84.0,3.214695752009185
118,Beaufort,201478.0,1031219.0,591232.0,29339.0,14.561887650264545,92250.0,7798.0,8.453116531165312
119,Beauregard,39579.0,326309.0,155466.0,7563.0,19.108618206624726,16259.0,895.0,5.504643582016114
120,Beaver,174092.0,1469884.0,729311.0,20546.0,11.801805941686005,88192.0,5802.0,6.57882801161103
121,Beaverhead,9219.0,338530.0,236375.0,1423.0,15.435513613190151,4892.0,321.0,6.561733442354865
122,Becker,31804.0,542824.0,316568.0,3897.0,12.253175701169663,16038.0,559.0,3.4854720039905227
123,Beckham,23657.0,190696.0,96790.0,2865.0,12.110580377900833,10048.0,294.0,2.925955414012739
124,Bedford,152942.0,1896629.0,933720.0,18913.0,12.366125720861502,74049.0,4806.0,6.4902969655228295
125,Bedford (city),19281.0,46250.0,23775.0,2642.0,13.702608785851357,9238.0,542.0,5.867070794544274
126,Bee,31714.0,371396.0,230009.0,5171.0,16.305101847764394,10895.0,765.0,7.021569527306104
127,Belknap,65186.0,956974.0,445525.0,6533.0,10.022090632957998,34707.0,1832.0,5.278474083038004
128,Bell,368169.0,1099468.0,527870.0,60423.0,16.41175655745052,151200.0,14780.0,9.775132275132275
129,Belmont,68111.0,821102.0,499041.0,9215.0,13.529385855441852,31883.0,2737.0,8.5845121224477
130,Beltrami,45952.0,580515.0,267496.0,7931.0,17.25931406685237,23542.0,2371.0,10.071361821425537
131,Ben Hill,23900.0,57808.0,44661.0,7813.0,32.69037656903766,9105.0,922.0,10.126304228445909
132,Benewah,9641.0,215428.0,112726.0,1551.0,16.087542786018048,4272.0,452.0,10.58052434456929
133,Bennett,3266.0,120428.0,56333.0,1269.0,38.85486834047765,1314.0,201.0,15.296803652968036
134,Bennington,36441.0,895655.0,541633.0,4717.0,12.944211190691803,19018.0,1091.0,5.736670522662741
135,Benson,6513.0,532680.0,320001.0,2133.0,32.74988484569323,2533.0,141.0,5.566521910777734
136,Bent,5749.0,151733.0,57947.0,910.0,15.82883979822578,1248.0,109.0,8.73397435897436
137,Benton,599973.0,3808545.0,1847978.0,86303.0,14.384480634961907,290884.0,18354.0,6.309731714360364
138,Benzie,16004.0,321361.0,166451.0,1981.0,12.378155461134716,7470.0,685.0,9.170013386880857
139,Bergen,926330.0,6453668.0,3076917.0,67959.0,7.336370407953969,491436.0,31824.0,6.475716064757161
140,Berkeley,289966.0,1119796.0,570566.0,40201.0,13.864039232185842,143268.0,14271.0,9.961052014406567
141,Berks,412754.0,2794546.0,1435328.0,57062.0,13.824699457788416,217018.0,19436.0,8.955939138688956
142,Berkshire,129288.0,1913924.0,1160372.0,16038.0,12.404863560423241,68746.0,6150.0,8.945975038547697
143,Bernalillo,671266.0,1114231.0,623869.0,128165.0,19.093027205310563,334328.0,27819.0,8.320870522361274
