Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
01011,1506.0,41.0,68000.0,28174.0,115.0,7.636122177954848,898.0,76.0,8.46325167037862
01012,539.0,51.2,57019.0,34589.0,59.0,10.946196660482375,331.0,34.0,10.27190332326284
01013,22394.0,34.9,40774.0,21477.0,3694.0,16.495489863356255,11510.0,1313.0,11.407471763683754
01020,30952.0,43.7,55665.0,28032.0,3042.0,9.828120961488757,16858.0,1433.0,8.50041523312374
01022,2840.0,35.6,51500.0,26697.0,633.0,22.288732394366196,1448.0,221.0,15.262430939226519
01026,1036.0,48.7,50625.0,26311.0,58.0,5.598455598455598,529.0,32.0,6.049149338374291
01027,17787.0,44.5,58324.0,33604.0,1516.0,8.523078652948783,10781.0,762.0,7.067989982376403
01028,16017.0,45.5,81655.0,38300.0,874.0,5.456702253855279,8686.0,515.0,5.9290812802210455
01029,717.0,50.3,44545.0,29424.0,107.0,14.923291492329149,372.0,51.0,13.709677419354838
01030,11250.0,44.0,63026.0,31713.0,1127.0,10.017777777777777,6070.0,290.0,4.7775947281713345
01031,1369.0,42.9,39750.0,23357.0,345.0,25.200876552227903,660.0,100.0,15.151515151515152
01032,611.0,49.2,65625.0,33491.0,24.0,3.927986906710311,399.0,16.0,4.010025062656641
01033,6304.0,44.3,87222.0,38018.0,261.0,4.1402284263959395,3626.0,126.0,3.474903474903475
01034,2190.0,46.7,81688.0,32033.0,218.0,9.954337899543379,1265.0,94.0,7.430830039525691
01035,5324.0,46.0,65625.0,39502.0,353.0,6.630353117956424,3132.0,45.0,1.4367816091954022
01036,5179.0,49.1,81018.0,39184.0,263.0,5.078200424792431,2951.0,212.0,7.184005421890885
01037,731.0,52.4,89118.0,36083.0,67.0,9.165526675786595,351.0,50.0,14.245014245014245
01038,2794.0,49.8,66607.0,36026.0,169.0,6.048675733715104,1733.0,41.0,2.3658395845354874
01039,1236.0,53.8,71167.0,42804.0,84.0,6.796116504854369,780.0,57.0,7.3076923076923075
01040,40342.0,35.4,36608.0,22343.0,11323.0,28.06752268107679,18779.0,2483.0,13.222216305447574
01050,2513.0,43.0,62446.0,26061.0,234.0,9.31157978511739,1344.0,52.0,3.869047619047619
01053,1772.0,51.3,59948.0,28710.0,314.0,17.720090293453726,707.0,56.0,7.920792079207921
01054,1993.0,49.8,83333.0,43647.0,153.0,7.676869041645761,1120.0,46.0,4.107142857142857
01056,21348.0,44.7,63548.0,31586.0,998.0,4.674910998688402,10988.0,789.0,7.180560611576265
01057,8712.0,46.0,68156.0,33106.0,761.0,8.73507805325987,5195.0,469.0,9.0279114533205
01060,15229.0,34.8,51651.0,33593.0,2463.0,16.173090813579353,9366.0,630.0,6.726457399103139
01062,11029.0,44.1,67939.0,39887.0,1531.0,13.881584912503401,6156.0,628.0,10.201429499675113
01063,572.0,20.3,,2815.0,0.0,0.0,389.0,25.0,6.426735218508997
01066,10.0,,,,0.0,0.0,0.0,0.0,
01068,1803.0,44.7,80313.0,31977.0,103.0,5.712701053799224,1038.0,72.0,6.936416184971098
01069,8976.0,43.8,54141.0,28141.0,542.0,6.038324420677362,4757.0,419.0,8.808072314483919
01070,565.0,52.2,55938.0,29515.0,56.0,9.91150442477876,350.0,21.0,6.0
01071,1318.0,47.5,73611.0,33799.0,33.0,2.503793626707132,792.0,56.0,7.070707070707071
01072,1465.0,47.2,69250.0,36110.0,144.0,9.829351535836178,883.0,53.0,6.002265005662514
01073,6022.0,45.9,79858.0,37005.0,326.0,5.413483892394553,3653.0,157.0,4.297837393922803
01074,247.0,33.5,58713.0,20462.0,0.0,0.0,146.0,0.0,0.0
01075,17781.0,40.9,60248.0,31124.0,1528.0,8.59344243855801,9984.0,650.0,6.510416666666667
01077,9640.0,44.6,80444.0,37134.0,515.0,5.342323651452282,5223.0,268.0,5.131150679686004
01079,593.0,43.4,42845.0,26707.0,86.0,14.502529510961214,329.0,37.0,11.246200607902736
01080,2286.0,38.4,42946.0,21323.0,626.0,27.384076990376204,1014.0,107.0,10.552268244575936
01081,1720.0,44.1,50393.0,23822.0,102.0,5.930232558139535,853.0,68.0,7.971864009378663
01082,10460.0,43.1,49500.0,26833.0,1521.0,14.54110898661568,5588.0,441.0,7.891911238367931
01083,2960.0,37.0,41600.0,23095.0,259.0,8.75,1463.0,112.0,7.655502392344498
01084,155.0,59.4,49444.0,40157.0,10.0,6.451612903225806,82.0,3.0,3.658536585365854
01085,41509.0,38.3,61546.0,28878.0,3653.0,8.800501096147823,23106.0,2051.0,8.876482298969965
01086,685.0,19.4,,3254.0,0.0,0.0,162.0,0.0,0.0
01088,493.0,50.9,61750.0,35747.0,73.0,14.807302231237323,242.0,0.0,0.0
01089,28600.0,39.2,54585.0,27988.0,3099.0,10.835664335664335,15539.0,1653.0,10.637750176974066
01092,1291.0,40.7,56111.0,35526.0,294.0,22.773044151820294,664.0,51.0,7.680722891566265
01093,307.0,52.3,82125.0,45907.0,16.0,5.2117263843648205,211.0,13.0,6.161137440758294
01094,336.0,53.8,17708.0,30757.0,17.0,5.059523809523809,124.0,11.0,8.870967741935484
01095,14514.0,48.0,90307.0,39882.0,579.0,3.989251756924349,7849.0,383.0,4.8796024971333924
01096,2494.0,44.7,70980.0,33492.0,195.0,7.8187650360866074,1438.0,75.0,5.21557719054242
01097,31.0,43.2,,13232.0,0.0,0.0,31.0,0.0,0.0
01098,1149.0,52.0,72917.0,35500.0,74.0,6.440382941688425,661.0,18.0,2.723146747352496
01103,2564.0,32.7,15558.0,18962.0,1444.0,56.3182527301092,1095.0,192.0,17.534246575342465
01104,23485.0,34.3,28858.0,18089.0,6823.0,29.05258675750479,10848.0,1495.0,13.781342182890855
01105,12027.0,30.2,16845.0,12531.0,6415.0,53.33832210858901,4106.0,827.0,20.141256697515832
01106,16007.0,46.5,109804.0,53610.0,694.0,4.335603173611545,8284.0,441.0,5.323515210043457
01107,11224.0,30.3,22288.0,12951.0,4990.0,44.458303635067715,4328.0,971.0,22.435304990757857
01108,27342.0,31.5,35119.0,18700.0,8335.0,30.484236705434864,12400.0,1532.0,12.35483870967742
01109,30541.0,26.0,33797.0,13988.0,8820.0,28.87921155168462,12117.0,1672.0,13.798795081290748
01118,14453.0,38.7,59232.0,28082.0,1778.0,12.301944233031204,7693.0,544.0,7.071363577278045
01119,13269.0,35.4,47702.0,22489.0,2053.0,15.47215313889517,6457.0,809.0,12.529038253058696
01128,2498.0,47.8,69145.0,35133.0,49.0,1.9615692554043234,1549.0,122.0,7.876049063912202
01129,7377.0,41.7,60992.0,27592.0,950.0,12.877863630201979,4182.0,415.0,9.923481587757054
