,Zipcode,Place Name,State,State Abbreviation,County,Latitude,Longitude,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
2641,10953,Mountainville,New York,NY,Orange,41.4009,-74.0785,102.0,0.0,8.0,0.0,24.0,7.0,7.0,25.0,0.0
2642,10954,Nanuet,New York,NY,Rockland,41.0977,-74.0109,23809.0,352.0,3617.0,540.0,1359.0,4400.0,2360.0,372.0,248.0
2643,10956,New City,New York,NY,Rockland,41.1472,-73.9962,31039.0,201.0,2752.0,253.0,1616.0,6684.0,4309.0,1270.0,592.0
2644,10958,New Hampton,New York,NY,Orange,41.3627,-74.4435,2899.0,53.0,618.0,96.0,240.0,340.0,217.0,9.0,13.0
2645,10960,Nyack,New York,NY,Rockland,41.0914,-73.9252,15253.0,123.0,1202.0,223.0,552.0,2824.0,2121.0,525.0,369.0
2646,10962,Orangeburg,New York,NY,Rockland,41.0442,-73.9609,5809.0,122.0,933.0,56.0,218.0,1012.0,687.0,147.0,92.0
2647,10963,Otisville,New York,NY,Orange,41.4818,-74.5294,4361.0,91.0,769.0,741.0,201.0,292.0,109.0,28.0,26.0
2648,10964,Palisades,New York,NY,Rockland,41.0103,-73.925,1557.0,33.0,254.0,14.0,35.0,239.0,249.0,78.0,25.0
2649,10965,Pearl River,New York,NY,Rockland,41.0629,-74.0159,15320.0,36.0,1795.0,81.0,839.0,2611.0,1517.0,231.0,116.0
2650,10968,Piermont,New York,NY,Rockland,41.0395,-73.9192,2344.0,0.0,192.0,53.0,84.0,670.0,377.0,142.0,105.0
2651,10969,Pine Island,New York,NY,Orange,41.2926,-74.4888,1717.0,8.0,300.0,54.0,138.0,160.0,66.0,0.0,0.0
2652,10970,Pomona,New York,NY,Rockland,41.1901,-74.0436,9873.0,56.0,1255.0,287.0,822.0,1475.0,851.0,138.0,86.0
2653,10973,Slate Hill,New York,NY,Orange,41.376000000000005,-74.4847,2603.0,10.0,475.0,15.0,191.0,282.0,128.0,40.0,7.0
2654,10974,Sloatsburg,New York,NY,Rockland,41.1575,-74.2008,3199.0,9.0,368.0,42.0,214.0,491.0,250.0,47.0,19.0
2655,10975,Southfields,New York,NY,Orange,41.248000000000005,-74.1762,297.0,0.0,48.0,0.0,25.0,45.0,18.0,0.0,0.0
2656,10976,Sparkill,New York,NY,Rockland,41.0256,-73.9229,2264.0,28.0,233.0,41.0,125.0,343.0,248.0,38.0,22.0
2657,10977,Spring Valley,New York,NY,Rockland,41.1158,-74.0474,62280.0,960.0,8343.0,910.0,2748.0,5046.0,2322.0,426.0,178.0
2658,10979,Sterling Forest,New York,NY,Orange,41.1823,-74.3184,301.0,0.0,27.0,0.0,46.0,0.0,0.0,0.0,0.0
2659,10980,Stony Point,New York,NY,Rockland,41.2292,-73.9962,13860.0,59.0,2428.0,363.0,1015.0,1888.0,1067.0,157.0,101.0
2660,10983,Tappan,New York,NY,Rockland,41.0278,-73.9491,5649.0,106.0,680.0,49.0,226.0,1272.0,610.0,100.0,62.0
2661,10984,Thiells,New York,NY,Rockland,41.2078,-74.0154,2880.0,0.0,407.0,85.0,272.0,538.0,219.0,35.0,15.0
2662,10985,Thompson Ridge,New York,NY,Orange,41.575,-74.3225,34.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
2663,10986,Tomkins Cove,New York,NY,Rockland,41.2598,-73.9892,1836.0,0.0,184.0,31.0,159.0,357.0,160.0,24.0,0.0
2664,10987,Tuxedo Park,New York,NY,Orange,41.1925,-74.2159,3318.0,32.0,346.0,78.0,150.0,694.0,442.0,78.0,104.0
2665,10988,Unionville,New York,NY,Orange,41.302,-74.5615,869.0,0.0,236.0,35.0,35.0,81.0,30.0,0.0,13.0
2666,10989,Valley Cottage,New York,NY,Rockland,41.1183,-73.943,10033.0,39.0,1494.0,69.0,641.0,2052.0,1274.0,166.0,109.0
2667,10990,Warwick,New York,NY,Orange,41.2656,-74.3604,19647.0,61.0,2798.0,398.0,1390.0,3297.0,1751.0,475.0,103.0
2668,10992,Washingtonville,New York,NY,Orange,41.4237,-74.1601,9048.0,60.0,1523.0,214.0,586.0,1155.0,723.0,120.0,47.0
2669,10993,West Haverstraw,New York,NY,Rockland,41.208999999999996,-73.9821,5326.0,94.0,800.0,9.0,573.0,267.0,126.0,0.0,53.0
2670,10994,West Nyack,New York,NY,Rockland,41.0973,-73.9768,7490.0,88.0,909.0,61.0,243.0,1504.0,823.0,274.0,122.0
2671,10996,West Point,New York,NY,Orange,41.3945,-73.9737,6830.0,0.0,100.0,16.0,138.0,492.0,461.0,55.0,131.0
2672,10998,Westtown,New York,NY,Orange,41.3214,-74.5529,2736.0,15.0,506.0,61.0,129.0,197.0,229.0,27.0,16.0
2673,11001,Floral Park,New York,NY,Nassau,40.7236,-73.7058,27551.0,125.0,4228.0,515.0,1797.0,4880.0,2735.0,793.0,304.0
