Zipcode,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
84740,262.0,2.0,68.0,18.0,9.0,2.0,0.0,0.0,0.0
84741,5732.0,0.0,1104.0,66.0,438.0,651.0,343.0,40.0,26.0
84742,211.0,0.0,29.0,6.0,8.0,39.0,8.0,1.0,0.0
84743,35.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84744,375.0,0.0,31.0,2.0,30.0,25.0,15.0,3.0,2.0
84745,4180.0,9.0,681.0,101.0,271.0,317.0,88.0,9.0,0.0
84746,1305.0,0.0,226.0,25.0,130.0,101.0,93.0,6.0,15.0
84747,989.0,0.0,150.0,1.0,92.0,54.0,39.0,4.0,0.0
84749,378.0,0.0,27.0,8.0,37.0,34.0,2.0,0.0,3.0
84750,518.0,0.0,111.0,62.0,14.0,37.0,15.0,0.0,0.0
84751,1797.0,0.0,370.0,19.0,66.0,212.0,54.0,17.0,0.0
84752,886.0,0.0,223.0,0.0,40.0,56.0,35.0,0.0,0.0
84753,37.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
84754,3921.0,21.0,691.0,102.0,278.0,312.0,193.0,21.0,0.0
84755,75.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0
84756,337.0,0.0,13.0,0.0,39.0,89.0,0.0,0.0,0.0
84757,832.0,13.0,92.0,3.0,79.0,122.0,79.0,1.0,29.0
84758,719.0,2.0,147.0,6.0,21.0,39.0,15.0,2.0,0.0
84759,2187.0,0.0,491.0,29.0,138.0,142.0,52.0,0.0,0.0
84760,605.0,2.0,140.0,27.0,43.0,55.0,10.0,5.0,3.0
84761,3064.0,0.0,604.0,87.0,226.0,210.0,112.0,17.0,0.0
84762,246.0,0.0,65.0,10.0,19.0,78.0,22.0,0.0,0.0
84763,395.0,14.0,46.0,16.0,51.0,59.0,19.0,0.0,11.0
84764,182.0,0.0,15.0,13.0,14.0,11.0,8.0,0.0,0.0
84765,6538.0,32.0,514.0,76.0,349.0,971.0,373.0,130.0,39.0
84766,186.0,0.0,128.0,0.0,11.0,0.0,0.0,0.0,0.0
84767,585.0,0.0,40.0,20.0,13.0,108.0,48.0,5.0,5.0
84770,40799.0,183.0,5430.0,860.0,2439.0,4010.0,1487.0,280.0,268.0
84772,142.0,0.0,45.0,0.0,0.0,14.0,11.0,0.0,0.0
84773,248.0,13.0,70.0,0.0,11.0,63.0,0.0,0.0,0.0
84774,1841.0,0.0,219.0,12.0,131.0,330.0,80.0,0.0,13.0
84775,512.0,0.0,54.0,1.0,82.0,87.0,60.0,1.0,16.0
84776,700.0,9.0,117.0,5.0,34.0,73.0,45.0,2.0,0.0
84779,503.0,0.0,102.0,10.0,49.0,37.0,6.0,5.0,3.0
84780,21735.0,86.0,2975.0,580.0,1594.0,2373.0,776.0,223.0,157.0
84781,150.0,0.0,44.0,0.0,23.0,26.0,0.0,0.0,0.0
84782,769.0,7.0,133.0,46.0,66.0,86.0,6.0,11.0,0.0
84783,484.0,0.0,187.0,0.0,45.0,54.0,91.0,0.0,10.0
84784,2926.0,0.0,296.0,16.0,56.0,33.0,9.0,0.0,0.0
84790,38822.0,96.0,4658.0,437.0,2889.0,4333.0,2282.0,602.0,543.0
85003,9479.0,161.0,977.0,389.0,281.0,1258.0,560.0,290.0,188.0
85004,4610.0,55.0,612.0,170.0,195.0,761.0,298.0,141.0,89.0
85006,26440.0,526.0,3009.0,457.0,765.0,2050.0,666.0,85.0,64.0
85007,14445.0,307.0,1481.0,598.0,457.0,1191.0,582.0,261.0,107.0
85008,57086.0,871.0,6733.0,1390.0,1817.0,4266.0,1172.0,204.0,187.0
85009,46782.0,1190.0,5505.0,1670.0,686.0,852.0,367.0,49.0,9.0
85012,6279.0,11.0,592.0,107.0,731.0,1310.0,640.0,340.0,100.0
85013,20228.0,42.0,1979.0,290.0,1262.0,3814.0,1900.0,499.0,346.0
85014,25553.0,403.0,3447.0,655.0,1376.0,3983.0,1650.0,592.0,189.0
85015,39441.0,568.0,5543.0,1096.0,2097.0,2440.0,1008.0,267.0,61.0
85016,34901.0,334.0,3734.0,774.0,1797.0,6764.0,2203.0,990.0,400.0
85017,40048.0,578.0,5063.0,1432.0,1395.0,1248.0,303.0,111.0,0.0
85018,37978.0,141.0,4142.0,844.0,1769.0,7368.0,2607.0,1610.0,543.0
85019,24978.0,526.0,3535.0,799.0,685.0,688.0,204.0,32.0,4.0
85020,32670.0,372.0,4855.0,832.0,1619.0,4898.0,2015.0,1013.0,382.0
